chapter,paragraph,sentence,text
CHAPTER III,3,3,"The ladies were somewhat more fortunate, for they had the advantage of ascertaining, from an upper window, that he wore a blue coat and rode a black horse."
CHAPTER III,4,1,"An invitation to dinner was soon afterwards despatched; and already had Mrs. Bennet planned the courses that were to do credit to her housekeeping, when an answer arrived which deferred it all."
CHAPTER III,4,2,"Mr. Bingley was obliged to be in town the following day, and consequently unable to accept the honour of their invitation, etc."
CHAPTER III,4,3,Mrs. Bennet was quite disconcerted.
CHAPTER III,4,4,"She could not imagine what business he could have in town so soon after his arrival in Hertfordshire; and she began to fear that he might always be flying about from one place to another, and never settled at Netherfield as he ought to be."
CHAPTER III,4,5,Lady Lucas quieted her fears a little by starting the idea of his
CHAPTER III,5,1,being gone to London only to get a large party for the ball; and a report soon followed that Mr. Bingley was to bring twelve ladies and seven gentlemen with him to the assembly.
CHAPTER III,5,2,"The girls grieved over such a number of ladies; but were comforted the day before the ball by hearing that, instead of twelve, he had brought only six with him from London, his five sisters and a cousin."
CHAPTER III,5,3,"And when the party entered the assembly-room, it consisted of only five altogether: Mr. Bingley, his two sisters, the husband of the eldest, and another young man."
CHAPTER III,6,1,"Mr. Bingley was good-looking and gentlemanlike: he had a pleasant countenance, and easy, unaffected manners."
CHAPTER III,6,2,"His sisters were fine women, with an air of decided fashion."
CHAPTER III,6,3,"His brother-in-law, Mr. Hurst, merely looked the gentleman; but his friend Mr. Darcy soon drew the attention of the room by his fine, tall person, handsome features, noble mien, and the report, which was in general circulation within five minutes after his entrance, of his having ten thousand a year."
CHAPTER III,6,4,"The gentlemen pronounced him to be a fine figure of a man, the ladies declared he was much handsomer than Mr. Bingley, and he was looked at with great admiration for about half the evening, till his manners gave a disgust which turned the tide of his popularity; for he was discovered to be proud, to be above his company, and above being pleased; and not all his large estate in Derbyshire could save him from having a most forbidding, disagreeable countenance, and being unworthy to be compared with his friend."
CHAPTER III,7,1,"Mr. Bingley had soon made himself acquainted with all the principal people in the room: he was lively and unreserved, danced every dance, was angry that the ball closed so early, and talked of giving one himself at Netherfield."
CHAPTER III,7,2,Such amiable qualities must speak for themselves.
CHAPTER III,7,3,What a contrast between him and his friend!
CHAPTER III,7,4,"Mr. Darcy danced only once with Mrs. Hurst and once with Miss Bingley, declined being introduced to any other lady, and spent the rest of the evening in walking about the room, speaking occasionally to one of his own party."
CHAPTER III,7,5,His character was decided.
CHAPTER III,7,6,"He was the proudest, most disagreeable man in the world, and everybody hoped that he would never come there again."
CHAPTER III,7,7,"Amongst the most violent against him was Mrs. Bennet, whose dislike of his general behaviour was sharpened into particular resentment by his having slighted one of her daughters."
CHAPTER III,8,1,"Elizabeth Bennet had been obliged, by the scarcity of gentlemen, to sit down for two dances; and during part of that time, Mr. Darcy had been standing near enough for her to overhear a conversation between him and Mr. Bingley, who came from the dance for a few minutes to press his friend to join it."
CHAPTER III,9,1,"“Come, Darcy,” said he, “I must have you dance."
CHAPTER III,9,2,I hate to see you standing about by yourself in this stupid manner.
CHAPTER III,9,3,You had much better dance.”
CHAPTER III,10,1,“I certainly shall not.
CHAPTER III,10,2,"You know how I detest it, unless I am particularly acquainted with my partner."
CHAPTER III,10,3,"At such an assembly as this, it would be insupportable."
CHAPTER III,10,4,"Your sisters are engaged, and there is not another woman in the room whom it would not be a punishment to me to stand up with.”"
CHAPTER III,11,1,"“I would not be so fastidious as you are,” cried Bingley, “for a kingdom!"
CHAPTER III,11,2,"Upon my honour, I never met with so many pleasant girls in my life as I have this evening; and there are several of them, you see, uncommonly pretty.”"
CHAPTER III,12,1,"“_You_ are dancing with the only handsome girl in the room,” said Mr. Darcy, looking at the eldest Miss Bennet."
CHAPTER III,13,1,"“Oh, she is the most beautiful creature I ever beheld!"
CHAPTER III,13,2,"But there is one of her sisters sitting down just behind you, who is very pretty, and I dare say very agreeable."
CHAPTER III,13,3,Do let me ask my partner to introduce you.”
CHAPTER III,14,1,"“Which do you mean?” and turning round, he looked for a moment at Elizabeth, till, catching her eye, he withdrew his own, and coldly said, “She is tolerable: but not handsome enough to tempt _me_; and I am in no humour at present to give consequence to young ladies who are slighted by other men."
CHAPTER III,14,2,"You had better return to your partner and enjoy her smiles, for you are wasting your time with me.”"
CHAPTER III,15,1,Mr. Bingley followed his advice.
CHAPTER III,15,2,Mr. Darcy walked off; and Elizabeth remained with no very cordial feelings towards him.
CHAPTER III,15,3,"She told the story, however, with great spirit among her friends; for she had a lively, playful disposition, which delighted in anything ridiculous."
CHAPTER III,16,1,The evening altogether passed off pleasantly to the whole family.
CHAPTER III,16,2,Mrs. Bennet had seen her eldest daughter much admired by the Netherfield party.
CHAPTER III,16,3,"Mr. Bingley had danced with her twice, and she had been distinguished by his sisters."
CHAPTER III,16,4,"Jane was as much gratified by this as her mother could be, though in a quieter way."
CHAPTER III,16,5,Elizabeth felt Jane’s pleasure.
CHAPTER III,16,6,"Mary had heard herself mentioned to Miss Bingley as the most accomplished girl in the neighbourhood; and Catherine and Lydia had been fortunate enough to be never without partners, which was all that they had yet learnt to care for at a ball."
CHAPTER III,16,7,"They returned, therefore, in good spirits to Longbourn, the village where they lived, and of which they were the principal inhabitants."
CHAPTER III,16,8,They found Mr. Bennet still up.
CHAPTER III,16,9,"With a book, he was regardless of time; and on the present occasion he had a good deal of curiosity as to the event of an evening which had raised such splendid expectations."
CHAPTER III,16,10,He had rather hoped that all his wife’s views on the stranger would be disappointed; but he soon found that he had a very different story to hear.
CHAPTER III,17,1,"“Oh, my dear Mr. Bennet,” as she entered the room, “we have had a most delightful evening, a most excellent ball."
CHAPTER III,17,2,I wish you had been there.
CHAPTER III,17,3,"Jane was so admired, nothing could be like it."
CHAPTER III,17,4,"Everybody said how well she looked; and Mr. Bingley thought her quite beautiful, and danced with her twice."
CHAPTER III,17,5,"Only think of _that_, my dear: he actually danced with her twice; and she was the only creature in the room that he asked a second time."
CHAPTER III,17,6,"First of all, he asked Miss Lucas."
CHAPTER III,17,7,"I was so vexed to see him stand up with her; but, however, he did not admire her at all; indeed, nobody can, you know; and he seemed quite struck with Jane as she was going down the dance."
CHAPTER III,17,8,"So he inquired who she was, and got introduced, and asked her for the two next."
CHAPTER III,17,9,"Then, the two third he danced with Miss King, and the two fourth with Maria Lucas, and the two fifth with Jane again, and the two sixth with Lizzy, and the _Boulanger_----”"
CHAPTER III,18,1,"“If he had had any compassion for _me_,” cried her husband impatiently, “he would not have danced half so much!"
CHAPTER III,18,2,"For God’s sake, say no more of his partners."
CHAPTER III,18,3,O that he had sprained his ancle in the first dance!”
CHAPTER III,19,1,"“Oh, my dear,” continued Mrs. Bennet, “I am quite delighted with him."
CHAPTER III,19,2,He is so excessively handsome!
CHAPTER III,19,3,and his sisters are charming women.
CHAPTER III,19,4,I never in my life saw anything more elegant than their dresses.
CHAPTER III,19,5,I dare say the lace upon Mrs. Hurst’s gown----”
CHAPTER III,20,1,Here she was interrupted again.
CHAPTER III,20,2,Mr. Bennet protested against any description of finery.
CHAPTER III,20,3,"She was therefore obliged to seek another branch of the subject, and related, with much bitterness of spirit, and some exaggeration, the shocking rudeness of Mr. Darcy."
CHAPTER III,21,1,"“But I can assure you,” she added, “that Lizzy does not lose much by not suiting _his_ fancy; for he is a most disagreeable, horrid man, not at all worth pleasing."
CHAPTER III,21,2,"So high and so conceited, that there was no enduring him!"
CHAPTER III,21,3,"He walked here, and he walked there, fancying himself so very great!"
CHAPTER III,21,4,Not handsome enough to dance with!
CHAPTER III,21,5,"I wish you had been there, my dear, to have given him one of your set-downs."
CHAPTER III,21,6,I quite detest the man.”
CHAPTER IV,1,1,"When Jane and Elizabeth were alone, the former, who had been cautious in her praise of Mr. Bingley before, expressed to her sister how very much she admired him."
CHAPTER IV,2,1,"“He is just what a young-man ought to be,” said she, “sensible, good-humoured, lively; and I never saw such happy manners!"
CHAPTER IV,2,2,"so much ease, with such perfect good breeding!”"
CHAPTER IV,3,1,"“He is also handsome,” replied Elizabeth, “which a young man ought likewise to be if he possibly can."
CHAPTER IV,3,2,His character is thereby complete.”
CHAPTER IV,4,1,“I was very much flattered by his asking me to dance a second time.
CHAPTER IV,4,2,I did not expect such a compliment.”
CHAPTER IV,5,1,“Did not you?
CHAPTER IV,5,2,_I_ did for you.
CHAPTER IV,5,3,But that is one great difference between us.
CHAPTER IV,5,4,"Compliments always take _you_ by surprise, and _me_ never."
CHAPTER IV,5,5,What could be more natural than his asking you again?
CHAPTER IV,5,6,He could not help seeing that you were about five times as pretty as every other woman in the room.
CHAPTER IV,5,7,No thanks to his gallantry for that.
CHAPTER IV,5,8,"Well, he certainly is very agreeable, and I give you leave to like him."
CHAPTER IV,5,9,You have liked many a stupider person.”
CHAPTER IV,6,1,"“Oh, you are a great deal too apt, you know, to like people in general."
CHAPTER IV,6,2,You never see a fault in anybody.
CHAPTER IV,6,3,All the world are good and agreeable in your eyes.
CHAPTER IV,6,4,I never heard you speak ill of a human being in my life.”
CHAPTER IV,7,1,“I would wish not to be hasty in censuring anyone; but I always speak what I think.”
CHAPTER IV,8,1,“I know you do: and it is _that_ which makes the wonder.
CHAPTER IV,8,2,"With _your_ good sense, to be so honestly blind to the follies and nonsense of others!"
CHAPTER IV,8,3,Affectation of candour is common enough; one meets with it everywhere.
CHAPTER IV,8,4,"But to be candid without ostentation or design,--to take the good of everybody’s character and make it still better, and say nothing of the bad,--belongs to you alone."
CHAPTER IV,8,5,"And so, you like this man’s sisters, too, do you?"
CHAPTER IV,8,6,Their manners are not equal to his.”
CHAPTER IV,9,1,"“Certainly not, at first; but they are very pleasing women when you converse with them."
CHAPTER IV,9,2,"Miss Bingley is to live with her brother, and keep his house; and I am much mistaken if we shall not find a very charming neighbour in her.”"
CHAPTER IV,10,1,"Elizabeth listened in silence, but was not convinced: their behaviour at the assembly had not been calculated to please in general; and with more quickness of observation and less pliancy of temper than her sister, and with a judgment, too, unassailed by any attention to herself, she was very little disposed to approve them."
CHAPTER IV,10,2,"They were, in fact, very fine ladies; not deficient in good-humour when they were pleased, nor in the power of being agreeable where they chose it; but proud and conceited."
CHAPTER IV,10,3,"They were rather handsome; had been educated in one of the first private seminaries in town; had a fortune of twenty thousand pounds; were in the habit of spending more than they ought, and of associating with people of rank; and were, therefore, in every respect entitled to think well of themselves and meanly of others."
CHAPTER IV,10,4,They were of a respectable family in the north of England; a circumstance more deeply impressed on their memories than that their brother’s fortune and their own had been acquired by trade.
CHAPTER IV,11,1,"Mr. Bingley inherited property to the amount of nearly a hundred thousand pounds from his father, who had intended to purchase an estate, but did not live to do it."
CHAPTER IV,11,2,"Mr. Bingley intended it likewise, and sometimes made choice of his county; but, as he was now provided with a good house and the liberty of a manor, it was doubtful to many of those who best knew the easiness of his temper, whether he might not spend the remainder of his days at Netherfield, and leave the next generation to purchase."
CHAPTER IV,12,1,"His sisters were very anxious for his having an estate of his own; but though he was now established only as a tenant, Miss Bingley was by no means unwilling to preside at his table; nor was Mrs. Hurst, who had married a man of more fashion than fortune, less disposed to consider his house as her home when it suited her."
CHAPTER IV,12,2,"Mr. Bingley had not been of age two years when he was tempted, by an accidental recommendation, to look at Netherfield House."
CHAPTER IV,12,3,"He did look at it, and into it, for half an hour; was pleased with the situation and the principal rooms, satisfied with what the owner said in its praise, and took it immediately."
CHAPTER IV,13,1,"Between him and Darcy there was a very steady friendship, in spite of a great opposition of character."
CHAPTER IV,13,2,"Bingley was endeared to Darcy by the easiness, openness, and ductility of his temper, though no disposition could offer a greater contrast to his own, and though with his own he never appeared dissatisfied."
CHAPTER IV,13,3,"On the strength of Darcy’s regard, Bingley had the firmest reliance, and of his judgment the highest opinion."
CHAPTER IV,13,4,"In understanding, Darcy was the superior."
CHAPTER IV,13,5,Bingley was by no means deficient; but Darcy was clever.
CHAPTER IV,13,6,"He was at the same time haughty, reserved, and fastidious; and his manners, though well bred, were not inviting."
CHAPTER IV,13,7,In that respect his friend had greatly the advantage.
CHAPTER IV,13,8,Bingley was sure of being liked wherever he appeared; Darcy was continually giving offence.
CHAPTER IV,14,1,The manner in which they spoke of the Meryton assembly was sufficiently characteristic.
CHAPTER IV,14,2,"Bingley had never met with pleasanter people or prettier girls in his life; everybody had been most kind and attentive to him; there had been no formality, no stiffness; he had soon felt acquainted with all the room; and as to Miss Bennet, he could not conceive an angel more beautiful."
CHAPTER IV,14,3,"Darcy, on the contrary, had seen a collection of people in whom there was little beauty and no fashion, for none of whom he had felt the smallest interest, and from none received either attention or pleasure."
CHAPTER IV,14,4,Miss Bennet he acknowledged to be pretty; but she smiled too much.
CHAPTER IV,15,1,"Mrs. Hurst and her sister allowed it to be so; but still they admired her and liked her, and pronounced her to be a sweet girl, and one whom they should not object to know more of."
CHAPTER IV,15,2,Miss Bennet was therefore established as a sweet girl; and their brother felt authorized by such commendation to think of her as he chose.
CHAPTER V,1,1,Within a short walk of Longbourn lived a family with whom the Bennets were particularly intimate.
CHAPTER V,1,2,"Sir William Lucas had been formerly in trade in Meryton, where he had made a tolerable fortune, and risen to the honour of knighthood by an address to the king during his mayoralty."
CHAPTER V,1,3,"The distinction had, perhaps, been felt too strongly."
CHAPTER V,1,4,"It had given him a disgust to his business and to his residence in a small market town; and, quitting them both, he had removed with his family to a house about a mile from Meryton, denominated from that period Lucas Lodge; where he could think with pleasure of his own importance, and, unshackled by business, occupy himself solely in being civil to all the world."
CHAPTER V,1,5,"For, though elated by his rank, it did not render him supercilious; on the contrary, he was all attention to everybody."
CHAPTER V,1,6,"By nature inoffensive, friendly, and obliging, his presentation at St. James’s had made him courteous."
CHAPTER V,2,1,"Lady Lucas was a very good kind of woman, not too clever to be a valuable neighbour to Mrs. Bennet."
CHAPTER V,2,2,They had several children.
CHAPTER V,2,3,"The eldest of them, a sensible, intelligent young woman, about twenty-seven, was Elizabeth’s intimate friend."
CHAPTER V,3,1,That the Miss Lucases and the Miss Bennets should meet to talk over a ball was absolutely necessary; and the morning after the assembly brought the former to Longbourn to hear and to communicate.
CHAPTER V,4,1,"“_You_ began the evening well, Charlotte,” said Mrs. Bennet, with civil self-command, to Miss Lucas."
CHAPTER V,4,2,“_You_ were Mr. Bingley’s first choice.”
CHAPTER V,5,1,“Yes; but he seemed to like his second better.”
CHAPTER V,6,1,"“Oh, you mean Jane, I suppose, because he danced with her twice."
CHAPTER V,6,2,"To be sure that _did_ seem as if he admired her--indeed, I rather believe he _did_--I heard something about it--but I hardly know what--something about Mr. Robinson.”"
CHAPTER V,7,1,“Perhaps you mean what I overheard between him and Mr. Robinson: did not I mention it to you?
CHAPTER V,7,2,"Mr. Robinson’s asking him how he liked our Meryton assemblies, and whether he did not think there were a great many pretty women in the room, and _which_ he thought the prettiest?"
CHAPTER V,7,3,"and his answering immediately to the last question, ‘Oh, the eldest Miss Bennet, beyond a doubt: there cannot be two opinions on that point.’”"
CHAPTER V,8,1,“Upon my word!
CHAPTER V,8,2,"Well, that was very decided, indeed--that does seem as if--but, however, it may all come to nothing, you know.”"
CHAPTER V,9,1,"“_My_ overhearings were more to the purpose than _yours_, Eliza,” said Charlotte."
CHAPTER V,9,2,“Mr.
CHAPTER V,9,3,"Darcy is not so well worth listening to as his friend, is he?"
CHAPTER V,9,4,Poor Eliza!
CHAPTER V,9,5,to be only just _tolerable_.”
CHAPTER V,10,1,"“I beg you will not put it into Lizzy’s head to be vexed by his ill-treatment, for he is such a disagreeable man that it would be quite a misfortune to be liked by him."
CHAPTER V,10,2,Mrs. Long told me last night that he sat close to her for half an hour without once opening his lips.”
CHAPTER V,11,1,"“Are you quite sure, ma’am?"
CHAPTER V,11,2,Is not there a little mistake?” said Jane.
CHAPTER V,11,3,“I certainly saw Mr. Darcy speaking to her.”
CHAPTER V,12,1,"“Ay, because she asked him at last how he liked Netherfield, and he could not help answering her; but she said he seemed very angry at being spoke to.”"
CHAPTER V,13,1,"“Miss Bingley told me,” said Jane, “that he never speaks much unless among his intimate acquaintance."
CHAPTER V,13,2,With _them_ he is remarkably agreeable.”
CHAPTER V,14,1,"“I do not believe a word of it, my dear."
CHAPTER V,14,2,"If he had been so very agreeable, he would have talked to Mrs. Long."
CHAPTER V,14,3,"But I can guess how it was; everybody says that he is eat up with pride, and I dare say he had heard somehow that Mrs. Long does not keep a carriage, and had to come to the ball in a hack chaise.”"
CHAPTER V,15,1,"“I do not mind his not talking to Mrs. Long,” said Miss Lucas, “but I wish he had danced with Eliza.”"
CHAPTER V,16,1,"“Another time, Lizzy,” said her mother, “I would not dance with _him_, if I were you.”"
CHAPTER V,17,1,"“I believe, ma’am, I may safely promise you _never_ to dance with him.”"
CHAPTER V,18,1,"“His pride,” said Miss Lucas, “does not offend _me_ so much as pride often does, because there is an excuse for it."
CHAPTER V,18,2,"One cannot wonder that so very fine a young man, with family, fortune, everything in his favour, should think highly of himself."
CHAPTER V,18,3,"If I may so express it, he has a _right_ to be proud.”"
CHAPTER V,19,1,"“That is very true,” replied Elizabeth, “and I could easily forgive _his_ pride, if he had not mortified _mine_.”"
CHAPTER V,20,1,"“Pride,” observed Mary, who piqued herself upon the solidity of her reflections, “is a very common failing, I believe."
CHAPTER V,20,2,"By all that I have ever read, I am convinced that it is very common indeed; that human nature is particularly prone to it, and that there are very few of us who do not cherish a feeling of self-complacency on the score of some quality or other, real or imaginary."
CHAPTER V,20,3,"Vanity and pride are different things, though the words are often used synonymously."
CHAPTER V,20,4,A person may be proud without being vain.
CHAPTER V,20,5,Pride relates more to our opinion of ourselves; vanity to what we would have others think of us.”
CHAPTER V,21,1,"“If I were as rich as Mr. Darcy,” cried a young Lucas, who came with his sisters, “I should not care how proud I was."
CHAPTER V,21,2,"I would keep a pack of foxhounds, and drink a bottle of wine every day.”"
CHAPTER V,22,1,"“Then you would drink a great deal more than you ought,” said Mrs. Bennet; “and if I were to see you at it, I should take away your bottle directly.”"
CHAPTER V,23,1,The boy protested that she should not; she continued to declare that she would; and the argument ended only with the visit.
CHAPTER VI,1,1,The ladies of Longbourn soon waited on those of Netherfield.
CHAPTER VI,1,2,The visit was returned in due form.
CHAPTER VI,1,3,"Miss Bennet’s pleasing manners grew on the good-will of Mrs. Hurst and Miss Bingley; and though the mother was found to be intolerable, and the younger sisters not worth speaking to, a wish of being better acquainted with _them_ was expressed towards the two eldest."
CHAPTER VI,1,4,"By Jane this attention was received with the greatest pleasure; but Elizabeth still saw superciliousness in their treatment of everybody, hardly excepting even her sister, and could not like them; though their kindness to Jane, such as it was, had a value, as arising, in all probability, from the influence of their brother’s admiration."
CHAPTER VI,1,5,"It was generally evident, whenever they met, that he _did_ admire her; and to _her_ it was equally evident that Jane was yielding to the preference which she had begun to entertain for him from the first, and was in a way to be very much in love; but she considered with pleasure that it was not likely to be discovered by the world in general, since Jane united with great strength of feeling, a composure of temper and an uniform cheerfulness of manner, which would guard her from the suspicions of the impertinent."
CHAPTER VI,1,6,"She mentioned this to her friend, Miss Lucas."
CHAPTER VI,2,1,"“It may, perhaps, be pleasant,” replied Charlotte, “to be able to impose on the public in such a case; but it is sometimes a disadvantage to be so very guarded."
CHAPTER VI,2,2,"If a woman conceals her affection with the same skill from the object of it, she may lose the opportunity of fixing him; and it will then be but poor consolation to believe the world equally in the dark."
CHAPTER VI,2,3,"There is so much of gratitude or vanity in almost every attachment, that it is not safe to leave any to itself."
CHAPTER VI,2,4,We can all _begin_ freely--a slight preference is natural enough; but there are very few of us who have heart enough to be really in love without encouragement.
CHAPTER VI,2,5,"In nine cases out of ten, a woman had better show _more_ affection than she feels."
CHAPTER VI,2,6,"Bingley likes your sister undoubtedly; but he may never do more than like her, if she does not help him on.”"
CHAPTER VI,3,1,"“But she does help him on, as much as her nature will allow."
CHAPTER VI,3,2,"If _I_ can perceive her regard for him, he must be a simpleton indeed not to discover it too.”"
CHAPTER VI,4,1,"“Remember, Eliza, that he does not know Jane’s disposition as you do.”"
CHAPTER VI,5,1,"“But if a woman is partial to a man, and does not endeavor to conceal it, he must find it out.”"
CHAPTER VI,6,1,"“Perhaps he must, if he sees enough of her."
CHAPTER VI,6,2,"But though Bingley and Jane meet tolerably often, it is never for many hours together; and as they always see each other in large mixed parties, it is impossible that every moment should be employed in conversing together."
CHAPTER VI,6,3,Jane should therefore make the most of every half hour in which she can command his attention.
CHAPTER VI,6,4,"When she is secure of him, there will be leisure for falling in love as much as she chooses.”"
CHAPTER VI,7,1,"“Your plan is a good one,” replied Elizabeth, “where nothing is in question but the desire of being well married; and if I were determined to get a rich husband, or any husband, I dare say I should adopt it."
CHAPTER VI,7,2,But these are not Jane’s feelings; she is not acting by design.
CHAPTER VI,7,3,"As yet she cannot even be certain of the degree of her own regard, nor of its reasonableness."
CHAPTER VI,7,4,She has known him only a fortnight.
CHAPTER VI,7,5,"She danced four dances with him at Meryton; she saw him one morning at his own house, and has since dined in company with him four times."
CHAPTER VI,7,6,This is not quite enough to make her understand his character.”
CHAPTER VI,8,1,“Not as you represent it.
CHAPTER VI,8,2,"Had she merely _dined_ with him, she might only have discovered whether he had a good appetite; but you must remember that four evenings have been also spent together--and four evenings may do a great deal.”"
CHAPTER VI,9,1,"“Yes: these four evenings have enabled them to ascertain that they both like Vingt-un better than Commerce, but with respect to any other leading characteristic, I do not imagine that much has been unfolded.”"
CHAPTER VI,10,1,"“Well,” said Charlotte, “I wish Jane success with all my heart; and if she were married to him to-morrow, I should think she had as good a chance of happiness as if she were to be studying his character for a twelvemonth."
CHAPTER VI,10,2,Happiness in marriage is entirely a matter of chance.
CHAPTER VI,10,3,"If the dispositions of the parties are ever so well known to each other, or ever so similar beforehand, it does not advance their felicity in the least."
CHAPTER VI,10,4,They always continue to grow sufficiently unlike afterwards to have their share of vexation; and it is better to know as little as possible of the defects of the person with whom you are to pass your life.”
CHAPTER VI,11,1,"“You make me laugh, Charlotte; but it is not sound."
CHAPTER VI,11,2,"You know it is not sound, and that you would never act in this way yourself.”"
CHAPTER VI,12,1,"Occupied in observing Mr. Bingley’s attention to her sister, Elizabeth was far from suspecting that she was herself becoming an object of some interest in the eyes of his friend."
CHAPTER VI,12,2,"Mr. Darcy had at first scarcely allowed her to be pretty: he had looked at her without admiration at the ball; and when they next met, he looked at her only to criticise."
